athlete_id,sex,height_cm,weight_kg,province,has_anthro,lifetime_pb,cutoff_16_group,cutoff_17_group,cutoff_18_group,cutoff_19_group,cutoff_20_group,cutoff_21_group,cutoff_22_group,cutoff_23_group,cutoff_24_group,cutoff_25_group,cutoff_26_group
4dd36800764ff38e,F,,,P20,False,12.43,excluded,excluded,A,B,B,B,B,B,B,B,B
4b2d17eedb386a99,M,175.0,125.0,P20,False,11.06,A,B,B,B,B,B,B,B,B,B,B
9a6344806690125e,M,,,,False,12.76,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded
3dc3b7e66fa9b48b,F,,,,False,11.82,excluded,excluded,excluded,A,A,A,B,B,B,B,B
50b731afdf8e72fd,F,168.0,48.0,P20,True,12.73,excluded,excluded,excluded,excluded,excluded,B,B,B,B,B,B
0b5e98d4c2a9e3c5,M,,,P14,False,12.12,excluded,B,B,B,B,B,B,B,B,B,B
74d3e1b2b8fc56a9,M,,,P28,False,11.39,excluded,excluded,excluded,B,B,B,B,B,B,B,B
2ff70a06398c55d6,F,,,P18,False,13.62,excluded,excluded,A,B,B,B,B,B,B,B,B
df8a103e8777786f,M,,,P17,False,11.35,excluded,excluded,excluded,excluded,A,B,B,B,B,B,B
3917f7696d826ca9,F,,,P17,False,11.64,excluded,excluded,excluded,excluded,excluded,excluded,A,A,B,B,B
54f1a284e9cfe803,F,,,P20,False,12.01,excluded,excluded,excluded,A,A,A,B,B,B,B,B
7aca8e862f8bcb4e,M,,,P20,False,11.54,excluded,excluded,A,B,B,B,B,B,B,B,B
2a691c5caaab7dc9,M,,,P09,False,12.65,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded
f3f9bb45e39e8a62,M,,,P14,False,11.59,excluded,excluded,A,B,B,B,B,B,B,B,B
5b989b0123720d45,M,,,P20,False,11.64,excluded,excluded,A,B,B,B,B,B,B,B,B
d86b0a571cca65c0,F,,,P14,False,13.21,excluded,excluded,A,B,B,B,B,B,B,B,B
88aee9bcbbfe0d18,M,,,P20,False,11.55,excluded,excluded,A,B,B,B,B,B,B,B,B
019be69bc0dc8518,M,,,P14,False,11.54,excluded,excluded,excluded,A,B,B,B,B,B,B,B
4c6c3efb6f16f316,M,,,,False,11.07,excluded,A,A,B,B,B,B,B,B,B,B
2bbbc0b846c11cfa,M,176.0,65.0,P21,True,11.37,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded
d1bb216f661fab6a,M,,,,False,11.48,excluded,excluded,excluded,B,B,B,B,B,B,B,B
633cb0c5790c494a,M,190.0,77.0,P30,True,11.06,excluded,excluded,excluded,excluded,excluded,A,A,A,A,A,A
ce48f7f1d73a4954,M,,,P28,False,11.17,excluded,excluded,A,B,B,B,B,B,B,B,B
7ef4e2b1ae91a414,M,173.0,58.0,P25,True,11.41,A,A,B,B,B,B,B,B,B,B,B
0ca6ab2fc972e42c,M,181.0,58.0,P20,True,10.35,excluded,A,A,A,B,B,B,B,B,B,B
527a5ca0825de39f,F,,,P28,False,12.56,A,B,B,B,B,B,B,B,B,B,B
93a7734b93f74202,F,166.0,,P14,False,11.84,excluded,excluded,A,A,B,B,B,B,B,B,B
8750b4c1bee25fa1,M,,,,False,11.46,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded
a897ff5ab48ddd4b,F,165.0,50.0,P20,True,12.84,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded
473bb9a1c19c3837,F,163.0,45.0,P07,True,12.42,A,A,A,A,B,B,B,B,B,B,B
4197da84068801d2,F,,,P00,False,11.95,excluded,excluded,A,A,A,A,A,A,B,B,B
5c3d3b467b8ffb89,F,169.0,50.0,P05,True,13.0,excluded,excluded,excluded,A,A,A,B,B,B,B,B
d26387aca66a009f,M,175.0,63.0,,True,12.71,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded
aa7ae287db607587,F,,,P10,False,13.21,excluded,excluded,A,B,B,B,B,B,B,B,B
db653e3ab17bc9b9,M,,,P06,False,10.72,excluded,excluded,excluded,A,A,A,A,B,B,B,B
4209119478609303,F,170.0,48.0,P15,True,13.12,excluded,excluded,A,A,B,B,B,B,B,B,B
72229c20be56aa50,F,160.0,50.0,P20,True,12.49,A,A,B,B,B,B,B,B,B,B,B
8f5b846763fd5503,M,,,P20,False,12.31,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded
eb8ee973dfbc2c33,M,,,P14,False,11.59,excluded,excluded,B,B,B,B,B,B,B,B,B
33eb88cd45c62a81,F,160.0,42.0,P20,True,12.62,excluded,excluded,A,A,B,B,B,B,B,B,B
e2e9c7fb0c43756f,M,,,P20,False,10.77,excluded,excluded,A,A,B,B,B,B,B,B,B
946db6e0a0760170,M,,,P15,False,12.16,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded
321c9b73cd1a5513,M,183.0,70.0,,True,11.61,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded
cced6b9e6db2695a,M,,,P10,False,11.11,excluded,A,A,B,B,B,B,B,B,B,B
