seed,fold,variant,model,r2,cutoff_age,sex,n
49,2,full_no_anthro,GradientBoosting,0.660187906674538,16,Male,957
49,3,trajectory_only,Ridge,0.6670127156540707,16,Male,957
49,3,trajectory_only,GradientBoosting,0.6522671490981243,16,Male,957
49,3,traj_wind,Ridge,0.665879754473673,16,Male,957
49,3,traj_wind,GradientBoosting,0.6482101220949099,16,Male,957
49,3,full_no_anthro,Ridge,0.7027860581203018,16,Male,957
49,3,full_no_anthro,GradientBoosting,0.6899076761306191,16,Male,957
49,4,trajectory_only,Ridge,0.6400288145218067,16,Male,957
49,4,trajectory_only,GradientBoosting,0.5857236814950758,16,Male,957
49,4,traj_wind,Ridge,0.6416841678947062,16,Male,957
49,4,traj_wind,GradientBoosting,0.5800061000343748,16,Male,957
49,4,full_no_anthro,Ridge,0.6599998215639191,16,Male,957
49,4,full_no_anthro,GradientBoosting,0.6065979072864645,16,Male,957
50,0,trajectory_only,Ridge,0.5499002733391136,16,Male,957
50,0,trajectory_only,GradientBoosting,0.5356839873538343,16,Male,957
50,0,traj_wind,Ridge,0.5530477256480395,16,Male,957
50,0,traj_wind,GradientBoosting,0.5255697704160494,16,Male,957
50,0,full_no_anthro,Ridge,0.6051524100219526,16,Male,957
50,0,full_no_anthro,GradientBoosting,0.5804559755717664,16,Male,957
50,1,trajectory_only,Ridge,0.6641226292642801,16,Male,957
50,1,trajectory_only,GradientBoosting,0.6348935425907758,16,Male,957
50,1,traj_wind,Ridge,0.673864584670234,16,Male,957
50,1,traj_wind,GradientBoosting,0.6592058615354917,16,Male,957
50,1,full_no_anthro,Ridge,0.6967307361239918,16,Male,957
50,1,full_no_anthro,GradientBoosting,0.6814585864418621,16,Male,957
50,2,trajectory_only,Ridge,0.6216942526718884,16,Male,957
50,2,trajectory_only,GradientBoosting,0.5875340686216708,16,Male,957
50,2,traj_wind,Ridge,0.6183055445157943,16,Male,957
50,2,traj_wind,GradientBoosting,0.6040138673595772,16,Male,957
50,2,full_no_anthro,Ridge,0.6096941263462325,16,Male,957
50,2,full_no_anthro,GradientBoosting,0.6234234321585729,16,Male,957
50,3,trajectory_only,Ridge,0.6418162078473576,16,Male,957
50,3,trajectory_only,GradientBoosting,0.5898153320120839,16,Male,957
50,3,traj_wind,Ridge,0.6311422618700828,16,Male,957
50,3,traj_wind,GradientBoosting,0.5969678904629119,16,Male,957
50,3,full_no_anthro,Ridge,0.6225228823057778,16,Male,957
50,3,full_no_anthro,GradientBoosting,0.5923039199576967,16,Male,957
50,4,trajectory_only,Ridge,0.6400618852083003,16,Male,957
50,4,trajectory_only,GradientBoosting,0.6317282886512916,16,Male,957
50,4,traj_wind,Ridge,0.6431756018178449,16,Male,957
50,4,traj_wind,GradientBoosting,0.5899217245057209,16,Male,957
50,4,full_no_anthro,Ridge,0.6574705374445206,16,Male,957
50,4,full_no_anthro,GradientBoosting,0.6112488095992354,16,Male,957
51,0,trajectory_only,Ridge,0.6285631774114062,16,Male,957
51,0,trajectory_only,GradientBoosting,0.6219991176516719,16,Male,957
51,0,traj_wind,Ridge,0.6238748245435719,16,Male,957
51,0,traj_wind,GradientBoosting,0.6144827444904729,16,Male,957
51,0,full_no_anthro,Ridge,0.6535476541960624,16,Male,957
51,0,full_no_anthro,GradientBoosting,0.6397190807202895,16,Male,957
51,1,trajectory_only,Ridge,0.5911661833442337,16,Male,957
51,1,trajectory_only,GradientBoosting,0.591455762367044,16,Male,957
51,1,traj_wind,Ridge,0.5869147532057347,16,Male,957
51,1,traj_wind,GradientBoosting,0.582374291132503,16,Male,957
51,1,full_no_anthro,Ridge,0.6154218348296572,16,Male,957
51,1,full_no_anthro,GradientBoosting,0.5927471204779311,16,Male,957
51,2,trajectory_only,Ridge,0.6340141815453558,16,Male,957
51,2,trajectory_only,GradientBoosting,0.6131605792241256,16,Male,957
51,2,traj_wind,Ridge,0.638305614740045,16,Male,957
51,2,traj_wind,GradientBoosting,0.6423231143644382,16,Male,957
51,2,full_no_anthro,Ridge,0.6721183478818611,16,Male,957
51,2,full_no_anthro,GradientBoosting,0.6374040840983325,16,Male,957
51,3,trajectory_only,Ridge,0.6198881193250417,16,Male,957
51,3,trajectory_only,GradientBoosting,0.5932569883562986,16,Male,957
51,3,traj_wind,Ridge,0.6205054588249068,16,Male,957
51,3,traj_wind,GradientBoosting,0.5962728027249609,16,Male,957
51,3,full_no_anthro,Ridge,0.6343753656948871,16,Male,957
51,3,full_no_anthro,GradientBoosting,0.6086480887334398,16,Male,957
51,4,trajectory_only,Ridge,0.6782835355604854,16,Male,957
51,4,trajectory_only,GradientBoosting,0.6203610224793493,16,Male,957
51,4,traj_wind,Ridge,0.6771926623545135,16,Male,957
51,4,traj_wind,GradientBoosting,0.6486784866417579,16,Male,957
51,4,full_no_anthro,Ridge,0.6651671152564735,16,Male,957
51,4,full_no_anthro,GradientBoosting,0.6379470685649223,16,Male,957
52,0,trajectory_only,Ridge,0.6452793939222277,16,Male,957
52,0,trajectory_only,GradientBoosting,0.5947280520700474,16,Male,957
52,0,traj_wind,Ridge,0.6415761285796254,16,Male,957
52,0,traj_wind,GradientBoosting,0.6166450852513174,16,Male,957
52,0,full_no_anthro,Ridge,0.6576700888438796,16,Male,957
52,0,full_no_anthro,GradientBoosting,0.6296528961324042,16,Male,957
52,1,trajectory_only,Ridge,0.5765557075238725,16,Male,957
52,1,trajectory_only,GradientBoosting,0.528327822511775,16,Male,957
52,1,traj_wind,Ridge,0.5685594482759013,16,Male,957
52,1,traj_wind,GradientBoosting,0.5216100623815494,16,Male,957
52,1,full_no_anthro,Ridge,0.6084622586099702,16,Male,957
52,1,full_no_anthro,GradientBoosting,0.540220313959167,16,Male,957
52,2,trajectory_only,Ridge,0.6919541931176298,16,Male,957
52,2,trajectory_only,GradientBoosting,0.6437700773988915,16,Male,957
52,2,traj_wind,Ridge,0.6954840282314492,16,Male,957
52,2,traj_wind,GradientBoosting,0.6508214654624849,16,Male,957
52,2,full_no_anthro,Ridge,0.7045050611312165,16,Male,957
52,2,full_no_anthro,GradientBoosting,0.6693524784631508,16,Male,957
52,3,trajectory_only,Ridge,0.5549148105345347,16,Male,957
52,3,trajectory_only,GradientBoosting,0.5379646051616447,16,Male,957
52,3,traj_wind,Ridge,0.568276380026487,16,Male,957
52,3,traj_wind,GradientBoosting,0.5376229404206068,16,Male,957
52,3,full_no_anthro,Ridge,0.6307342428345624,16,Male,957
52,3,full_no_anthro,GradientBoosting,0.5930980711035629,16,Male,957
52,4,trajectory_only,Ridge,0.6935636967494698,16,Male,957
52,4,trajectory_only,GradientBoosting,0.691557721613409,16,Male,957
52,4,traj_wind,Ridge,0.6925629706747685,16,Male,957
52,4,traj_wind,GradientBoosting,0.6658069305912435,16,Male,957
52,4,full_no_anthro,Ridge,0.6896379807927873,16,Male,957
52,4,full_no_anthro,GradientBoosting,0.6630149963891984,16,Male,957
53,0,trajectory_only,Ridge,0.6448541519342736,16,Male,957
53,0,trajectory_only,GradientBoosting,0.581794929368251,16,Male,957
53,0,traj_wind,Ridge,0.6522320527747776,16,Male,957
53,0,traj_wind,GradientBoosting,0.6095709408661836,16,Male,957
53,0,full_no_anthro,Ridge,0.6590584493261454,16,Male,957
53,0,full_no_anthro,GradientBoosting,0.608216508845631,16,Male,957
53,1,trajectory_only,Ridge,0.5479871227000195,16,Male,957
53,1,trajectory_only,GradientBoosting,0.5425775734361966,16,Male,957
