cutoff_age,sex,variant,model,cv_strategy,R2_mean,R2_ci_lo,R2_ci_hi,R2_std,RMSE_mean,RMSE_ci_lo,RMSE_ci_hi,RMSE_std,MAE_mean,MAE_ci_lo,MAE_ci_hi,MAE_std,n_samples,n_folds,n_repeats
16,Female,traj_wind,RandomForest,random,0.9178673004472719,0.8806365695625993,0.9461307748222634,0.016579458413231638,0.20878473300961545,0.17224637898338058,0.24708913999341395,0.019063540098164532,0.13967088505504008,0.12332355523531781,0.15636723227134358,0.008387267172036621,1086,5.0,500.0
16,Female,traj_wind,GradientBoosting,random,0.9174216869507451,0.8807484038687059,0.944193001587677,0.016028725268848614,0.2094230102370143,0.17559630617128422,0.24595424043444103,0.018100341812329442,0.13749053300972666,0.12111896027146368,0.1546453262176363,0.008487032550840181,1086,5.0,500.0
17,Male,trajectory_only,Ridge,random,0.8884205291411017,0.8686742239480955,0.9058813401285651,0.009331283704097545,0.15296662651223594,0.14278998949797184,0.1637093446831979,0.005353065632428494,0.1027182118003087,0.09861190011567346,0.10709412988141746,0.0021845957033651076,7935,5.0,500.0
17,Male,trajectory_only,RandomForest,random,0.8829482974508821,0.8631834057922713,0.900141612239861,0.00915092556640138,0.15670033480951157,0.14666330904709624,0.16734987002972007,0.005273904306229213,0.1056305603102895,0.10128220286791209,0.11026582265594606,0.0023078475525913295,7935,5.0,500.0
17,Male,trajectory_only,GradientBoosting,random,0.888813496534538,0.8693076166639196,0.9056985999491421,0.008968571134949735,0.1527101371444527,0.1427421248583214,0.16312857358813607,0.005184273490864537,0.10156318314779582,0.09725047402444643,0.10608194591151487,0.0022287972294070682,7935,5.0,500.0
17,Male,traj_wind,Ridge,random,0.8884976332482616,0.8689534007423121,0.9058577389195035,0.009316268895894556,0.1529140172281511,0.14275475361099332,0.1637613253532394,0.005344716955739392,0.10264807526403524,0.09850405319286015,0.10700675767873578,0.0021873325992986625,7935,5.0,500.0
17,Male,traj_wind,RandomForest,random,0.8845316611343115,0.8650140588416156,0.9018939605353972,0.00918513399961145,0.1556288622581015,0.1455570258009116,0.1662372026894473,0.005251669852789957,0.10538396948380921,0.10115943473377921,0.10979144607515205,0.002238946541583196,7935,5.0,500.0
17,Male,traj_wind,GradientBoosting,random,0.8888450744564746,0.869692084133164,0.9053368821989431,0.008964848827442489,0.15268808812078086,0.1429774344675294,0.16313078440899478,0.005164425966580528,0.10171480754816928,0.09739925949403468,0.10616073395253901,0.0022428278310912004,7935,5.0,500.0
17,Female,trajectory_only,Ridge,random,0.9417897458796815,0.9163062702199816,0.9616630129037037,0.011598407520203956,0.16857461368099902,0.13918277275934512,0.19904432909310496,0.015324494960195622,0.10180741638554407,0.09185050994108067,0.11283056315828538,0.005313957859524443,1877,5.0,500.0
17,Female,trajectory_only,RandomForest,random,0.9341037742305062,0.909544533037712,0.9539839552548646,0.011645127347780618,0.17960527627860282,0.15203393909167606,0.20903126292949814,0.014770971050051814,0.11166775634261401,0.10064919767203105,0.12322023717835971,0.0058307062325048545,1877,5.0,500.0
17,Female,trajectory_only,GradientBoosting,random,0.936715507767144,0.9124875835200963,0.9558768807299287,0.011432096605625365,0.17594001419404465,0.14793066642910452,0.20426894016036082,0.01434692557557158,0.10728688538984406,0.0970600637488015,0.11825007218956377,0.005572908197042157,1877,5.0,500.0
17,Female,traj_wind,Ridge,random,0.9417207721455405,0.9164900556274906,0.9613987060046459,0.011523557262224206,0.16868649010326098,0.13948590615262052,0.19891458007003074,0.015186548134667974,0.1023082246488136,0.09250985576475124,0.11332463474832778,0.005312909081330273,1877,5.0,500.0
17,Female,traj_wind,RandomForest,random,0.9349124062682725,0.910163882060445,0.954860471757144,0.011749431769026618,0.17844815180073179,0.15034385319077792,0.20781355905202128,0.01476876911608567,0.11069815845501321,0.10015227502208175,0.12207369779463045,0.005691483257200261,1877,5.0,500.0
17,Female,traj_wind,GradientBoosting,random,0.9359390454621567,0.9115608811230206,0.9553572950997542,0.011420607157673839,0.17703854135087804,0.14928197738688628,0.2052088297146513,0.01424231706244106,0.10883338936196392,0.09826375530282447,0.11949232909621084,0.005489990437852387,1877,5.0,500.0
18,Male,trajectory_only,Ridge,random,0.9572398964426586,0.9489430438618713,0.9646377205371109,0.004000681935354518,0.08269441324241318,0.07526246897299549,0.09000607839324333,0.0038147052220162416,0.03470523883463085,0.03313912762364331,0.03636954282831016,0.0008376552793869492,19423,5.0,500.0
18,Male,trajectory_only,RandomForest,random,0.9540255126442291,0.9463478131020331,0.9611756044225155,0.00385248050248453,0.08576854690073592,0.07878737418828521,0.09266235706156985,0.0036171160101652285,0.038020007519858415,0.03625229325538782,0.03987004138342576,0.000937367375408239,19423,5.0,500.0
18,Male,trajectory_only,GradientBoosting,random,0.9572368111627395,0.9491552706215414,0.9644281433771017,0.0038621668625138765,0.08270416824981305,0.07544844773966265,0.08982039088210632,0.003686879738701048,0.03419325266071805,0.032542265222407815,0.035893315048886244,0.0008708370935393604,19423,5.0,500.0
18,Male,traj_wind,Ridge,random,0.9572264394566798,0.9489078493898457,0.9646098845493845,0.003997435886174032,0.08270761531549552,0.07530354367766745,0.09002283189979406,0.003810561143837398,0.034717211097349966,0.033136136703120996,0.03638763818590649,0.0008383946383548435,19423,5.0,500.0
18,Male,traj_wind,RandomForest,random,0.9549114610553912,0.9469854228247736,0.9621229651037717,0.0038940399812637193,0.08493200342667792,0.07790679664529461,0.09199533710291734,0.0036551584865556442,0.03771958447057738,0.035980370985661356,0.039494136724704726,0.0009101652259521797,19423,5.0,500.0
18,Male,traj_wind,GradientBoosting,random,0.9572152226498878,0.9491543814668219,0.9643779226822435,0.00386579338254112,0.08272492139419588,0.07547571353482509,0.08994151033119706,0.0036880828597672818,0.03429890627221514,0.03264473398400375,0.03600204924278246,0.0008701593829434488,19423,5.0,500.0
