cutoff_age,sex,variant,model,cv_strategy,n_samples,n_features,n_repeats,R2_mean,R2_ci_lo,R2_ci_hi,R2_std,RMSE_mean,MAE_mean,tag,n_groups
17,Female,full_no_anthro,RandomForest,random,664,47,500.0,0.6585324339727294,0.5409537331283828,0.7463814683513715,0.053167210377675925,0.3201220512431194,0.23142576349283817,primary,
17,Female,full_no_anthro,GradientBoosting,random,664,47,500.0,0.6639425801956459,0.5314517843411838,0.7574003207829537,0.057308215931995816,0.3171385364251099,0.2298305154957371,primary,
17,Female,full_no_anthro,GradientBoosting,province_disjoint,584,47,,0.6249357682859116,,,0.04653104240499351,0.32547080202583645,0.2343010199607692,primary,25.0
18,Male,trajectory_only,Ridge,random,2662,26,500.0,0.8008175669468476,0.7597565200204418,0.8335441802852146,0.018522266229459818,0.17687375975211858,0.13584275869453805,primary,
18,Male,trajectory_only,RandomForest,random,2662,26,500.0,0.7956711345595613,0.7593712412569529,0.8257534297253949,0.01706865287039733,0.1791881322243585,0.13811576162984857,primary,
18,Male,trajectory_only,GradientBoosting,random,2662,26,500.0,0.7965308135158004,0.7596012055103195,0.8279293232891634,0.017361725334416808,0.1787984036810158,0.13759501601867632,primary,
18,Male,trajectory_only,GradientBoosting,province_disjoint,2175,26,,0.7892051516274162,,,0.027858991288942946,0.18375560847436626,0.1417115356270166,primary,28.0
18,Male,traj_wind,Ridge,random,2662,40,500.0,0.8029167729813397,0.7637528236468936,0.8347119736262423,0.01794574918160313,0.17594614677983042,0.13521166660755074,primary,
18,Male,traj_wind,RandomForest,random,2662,40,500.0,0.7957533344243759,0.7587495139761017,0.8266683304268383,0.017332897295341775,0.17914290637620314,0.13832944473767592,primary,
18,Male,traj_wind,GradientBoosting,random,2662,40,500.0,0.7989744952239509,0.7629686900856982,0.8293265336063579,0.01693879256511802,0.17772488718866217,0.1368581111409421,primary,
18,Male,traj_wind,GradientBoosting,province_disjoint,2175,40,,0.7903464680231757,,,0.027720804076471168,0.18317419981365696,0.14198683115687388,primary,28.0
18,Male,full_no_anthro,Ridge,random,2662,47,500.0,0.8111449150793162,0.775336234897238,0.8404693786195153,0.01672121448147623,0.1722430789408425,0.13211016414955207,primary,
18,Male,full_no_anthro,RandomForest,random,2662,47,500.0,0.8024635952906558,0.767430144826578,0.8318312266895792,0.01672983661741042,0.1761758467563245,0.1360670249468754,primary,
